model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",690.502,0.9864,0.001374,690.5172,0.9956,0.0115,0.0003,0.0001,0.9956,0.0159,4.5546,4.5365,0.9956,11.0794,234.829,0.0019,0.9956,15.3241,3.0688,3.07
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",692.4471,0.9892,0.001433,692.4611,0.9948,0.0125,0.0003,0.0002,0.9948,0.0172,4.9042,4.9172,0.9948,12.091,275.1931,0.0022,0.9948,16.5889,3.3211,3.3328
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",678.4544,0.9692,0.001217,678.4729,0.9945,0.0138,0.0003,0.0002,0.9943,0.018,6.2862,6.0244,0.9945,13.3627,302.9696,0.0029,0.9943,17.406,4.0211,3.9524
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",658.6698,0.941,0.00111,658.6805,0.9926,0.0163,0.0004,0.0002,0.9925,0.0207,7.1404,7.4478,0.9926,15.7759,398.4735,0.0042,0.9925,19.9618,4.6792,4.7435
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",671.5297,0.9593,0.001165,671.5422,0.9953,0.0118,0.0003,0.0001,0.9953,0.0164,4.6653,4.6705,0.9953,11.4398,250.8795,0.002,0.9953,15.8392,3.1546,3.1603
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",684.3112,0.9776,0.001197,684.319,0.995,0.0122,0.0003,0.0001,0.995,0.0168,4.6917,4.6964,0.995,11.779,264.048,0.002,0.995,16.2496,3.1889,3.1937
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",698.0953,0.9973,0.00131,698.1073,0.9948,0.0126,0.0003,0.0002,0.9948,0.0173,4.976,4.9658,0.9948,12.1586,278.8323,0.0023,0.9948,16.6983,3.3616,3.36
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",682.066,0.9744,0.001411,682.0763,0.9952,0.0122,0.0003,0.0001,0.9951,0.0166,4.7196,4.7862,0.9952,11.7375,258.2069,0.0021,0.9951,16.0688,3.2144,3.2462
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",647.6087,0.9252,0.001827,647.6229,0.9949,0.0125,0.0003,0.0002,0.9949,0.0171,4.956,4.9146,0.9949,12.0523,272.0313,0.0022,0.9949,16.4934,3.348,3.3328
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",656.3723,0.9377,0.001271,656.3837,0.9917,0.016,0.0005,0.0003,0.9917,0.0218,6.366,6.3631,0.9917,15.4809,443.453,0.0037,0.9917,21.0583,4.3047,4.3032
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",660.6578,0.9438,0.001201,660.6695,0.9947,0.0126,0.0003,0.0002,0.9947,0.0175,4.9755,4.9807,0.9947,12.1752,284.4302,0.0023,0.9947,16.8651,3.3617,3.367
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",641.4493,0.9164,0.001133,641.4614,0.9952,0.0121,0.0003,0.0001,0.9952,0.0166,4.731,4.7154,0.9952,11.6808,255.435,0.002,0.9952,15.9823,3.2082,3.204
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",660.3839,0.9434,0.001228,660.3964,0.9942,0.0131,0.0003,0.0002,0.9942,0.0181,5.128,5.2385,0.9942,12.6953,305.7692,0.0026,0.9942,17.4863,3.4802,3.5151
"GA_MLNN-sliding_10-nets_[700, (0, 0), 5, (0.6, 0.4)]-ga_{'epoch': 700, 'pop_size': 200, 'pc': 0.95, 'pm': 0.025}",659.2301,0.9418,0.001141,659.2392,0.9949,0.0125,0.0003,0.0002,0.9949,0.017,4.7584,4.791,0.9949,12.0557,269.875,0.0021,0.9949,16.4279,3.2573,3.2688
