model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",8962.567,8.9626,0.79899979,8963.3771,0.9942,0.0147,0.0004,0.0002,0.9941,0.0195,5.7619,5.5613,0.9942,14.2193,354.4357,0.0025,0.9941,18.8265,3.7994,3.7467
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",10097.1523,10.0972,2.88698244,10100.0474,0.993,0.0168,0.0005,0.0002,0.993,0.0212,7.197,6.7995,0.993,16.1834,420.1178,0.0035,0.993,20.4968,4.6264,4.5071
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6640.5564,6.6406,6.44092703,6647.0125,0.9944,0.0144,0.0004,0.0002,0.9944,0.019,5.6601,5.4644,0.9944,13.8812,338.0157,0.0024,0.9944,18.3852,3.7332,3.6801
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6964.4617,6.9645,9.60930467,6974.0786,0.9938,0.0154,0.0004,0.0002,0.9936,0.0203,5.9479,5.7421,0.9938,14.8639,386.1115,0.0026,0.9936,19.6497,3.9216,3.8712
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",8602.4248,8.6024,9.45673847,8611.8956,0.9943,0.0147,0.0004,0.0002,0.9943,0.0192,5.9323,5.6996,0.9943,14.1652,345.0609,0.0026,0.9943,18.5758,3.8805,3.8156
"RNN-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",9281.3724,9.2814,17.33788919,9298.7347,0.9937,0.0158,0.0004,0.0002,0.9937,0.0202,6.8009,6.4475,0.9937,15.2703,379.4248,0.0032,0.9937,19.4788,4.3778,4.2719
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2455.1896,2.4552,0.59838533,2455.7896,0.9921,0.018,0.0005,0.0003,0.9921,0.0227,7.8165,7.3364,0.9921,17.4178,479.9611,0.004,0.9921,21.908,4.9955,4.853
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2472.2364,2.4722,2.70588875,2474.9448,0.9941,0.0153,0.0004,0.0002,0.9941,0.0196,6.6161,6.277,0.9941,14.7647,356.6708,0.0031,0.9941,18.8857,4.258,4.1554
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1668.5024,1.6685,6.27831912,1674.7859,0.9938,0.0156,0.0004,0.0002,0.9938,0.02,6.6552,6.3195,0.9938,15.0744,373.1811,0.0031,0.9938,19.3179,4.2943,4.194
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1676.1362,1.6761,9.43761921,1685.5753,0.9933,0.0165,0.0004,0.0002,0.9933,0.0209,7.1549,6.7545,0.9933,15.9346,407.581,0.0035,0.9933,20.1886,4.589,4.4688
"RNN-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1785.072,1.7851,14.54168582,1799.6162,0.9941,0.0149,0.0004,0.0002,0.994,0.0197,5.795,5.593,0.9941,14.3516,362.789,0.0026,0.994,19.047,3.8246,3.7722
