,MLNN,RNN,LSTM,GA-MLNN,PSO-MLNN,ABFO-MLNN,CRO-MLNN,OCRO-MLNN,,,,,,,,,,,,
sliding window k = 2,0.5503,0.519,0.4877,0.4631,0.4441,0.4496,0.4386,0.4474,,,,,,,,,,,,
,0.6579,0.4866,0.4929,0.4545,0.4605,0.5086,0.4495,0.4458,,,,,,,,,,,,
,0.5113,0.4857,0.4845,0.4533,0.4512,0.5503,0.4445,0.4472,,,,,,,,,,,,
,0.5091,0.4973,0.4888,0.4489,0.443,0.4889,0.4526,0.4485,,,,,,,,,,,,
,0.4651,0.5064,0.4835,0.449,0.4555,0.5061,0.453,0.4461,,,,,,,,,,,,
,0.4563,0.5918,0.4882,0.4529,0.4421,0.4801,0.4503,0.448,,,,,,,,,,,,
,0.6227,0.5054,0.4804,0.453,0.4519,0.5788,0.4475,0.4484,,,,,,,,,,,,
,0.5267,0.5171,0.4779,0.4592,0.4536,0.4423,0.4473,0.4392,,,,,,,,,,,,
,0.4689,0.4757,0.4631,0.46,0.4436,0.5359,0.4457,0.4499,,,,,,,,,,,,
,0.5537,0.4805,0.4545,0.4511,0.4523,0.5504,0.4489,0.4482,,,,,,,,,,,,
,0.4683,0.5378,0.4533,0.4499,0.4497,0.5163,0.4513,0.4485,,,,,,,,,,,,
,0.5044,0.4778,0.4489,0.4522,0.4448,0.5425,0.4545,0.4523,,,,,,,,,,,,
,0.4684,0.5503,0.449,0.4457,0.4528,0.5705,0.4462,0.4491,,,,,,,,,,,,
,0.4926,0.4461,0.4529,0.4531,0.4521,0.4927,0.4517,0.4454,,,,,,,,,,,,
,0.5918,0.5113,0.453,0.4392,0.4445,0.4659,0.4465,0.4475,,,,,,,,,,,,
sliding window k = 5,0.4845,0.5091,0.4592,0.4703,0.4471,0.5268,0.4539,0.4461,,,,,,,,,,,,
,0.5045,0.4651,0.46,0.4614,0.4594,0.5198,0.4493,0.4519,,,,,,,,,,,,
,0.4672,0.4563,0.4511,0.4476,0.4586,0.5045,0.4443,0.4482,,,,,,,,,,,,
,0.6425,0.5503,0.4499,0.4436,0.4524,0.4518,0.4525,0.452,,,,,,,,,,,,
,0.6012,0.4631,0.4631,0.4426,0.4568,0.5042,0.4484,0.4467,,,,,,,,,,,,
,0.4659,0.4545,0.4545,0.4863,0.4627,0.5848,0.4634,0.4504,,,,,,,,,,,,
,0.672,0.4533,0.4533,0.4771,0.4446,0.5857,0.4428,0.4481,,,,,,,,,,,,
,0.7096,0.4489,0.4877,0.4509,0.4503,0.4505,0.4539,0.441,,,,,,,,,,,,
,0.7135,0.449,0.4929,0.4462,0.4502,0.4949,0.4483,0.4556,,,,,,,,,,,,
,0.6683,0.4529,0.4845,0.4362,0.4559,0.4903,0.454,0.4396,,,,,,,,,,,,
,0.6326,0.453,0.4888,0.442,0.4444,0.614,0.4466,0.4567,,,,,,,,,,,,
,0.5882,0.4631,0.4835,0.4696,0.458,0.489,0.4485,0.4505,,,,,,,,,,,,
,0.6675,0.4545,0.4882,0.4537,0.4592,0.5042,0.4447,0.44,,,,,,,,,,,,
,0.523,0.4533,0.4877,0.4623,0.4611,0.5794,0.4514,0.4571,,,,,,,,,,,,
,0.5042,0.4489,0.4929,0.445,0.4445,0.6528,0.4521,0.4541,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
min,0.4563,0.4461,0.4489,0.4392,0.4421,0.4423,0.4386,0.4392,,,,,,,,,,,,
max,0.6579,0.5918,0.4929,0.4631,0.4605,0.5788,0.4545,0.4523,,,,,,,,,,,,
mean,0.5232,0.5059,0.4706,0.4523,0.4494,0.5119,0.4485,0.4474,,,,,,,,,,,,
std,0.0615,0.0353,0.0171,0.0058,0.0055,0.0424,0.004,0.0028,,,,,,,,,,,,
cv,0.1175,0.0698,0.0364,0.0129,0.0121,0.0829,0.009,0.0064,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
min,0.4659,0.4489,0.4499,0.4362,0.4444,0.4505,0.4428,0.4396,,,,,,,,,,,,
max,0.7135,0.5503,0.4929,0.4863,0.4627,0.6528,0.4634,0.4571,,,,,,,,,,,,
mean,0.5896,0.465,0.4732,0.4557,0.4537,0.5302,0.4503,0.4492,,,,,,,,,,,,
std,0.0902,0.0279,0.0172,0.0148,0.0064,0.0596,0.0051,0.0058,,,,,,,,,,,,
cv,0.153,0.0599,0.0364,0.0324,0.0142,0.1124,0.0114,0.0128,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.4563,0.6579,0.5232,0.0615,0.1175,,0.4659,0.7135,0.5896,0.0902,0.153
,,,,,,,,,,0.4461,0.5918,0.5059,0.0353,0.0698,,0.4489,0.5503,0.465,0.0279,0.0599
,,,,,,,,,,0.4489,0.4929,0.4706,0.0171,0.0364,,0.4499,0.4929,0.4732,0.0172,0.0364
,,,,,,,,,,0.4392,0.4631,0.4523,0.0058,0.0129,,0.4362,0.4863,0.4557,0.0148,0.0324
,,,,,,,,,,0.4421,0.4605,0.4494,0.0055,0.0121,,0.4444,0.4627,0.4537,0.0064,0.0142
,,,,,,,,,,0.4423,0.5788,0.5119,0.0424,0.0829,,0.4505,0.6528,0.5302,0.0596,0.1124
,,,,,,,,,,0.4386,0.4545,0.4485,0.004,0.009,,0.4428,0.4634,0.4503,0.0051,0.0114
,,,,,,,,,,0.4392,0.4523,0.4474,0.0028,0.0064,,0.4396,0.4571,0.4492,0.0058,0.0128
