model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1772.2239,4.9228,0.001962,1772.2382,-3.7636,0.0181,0.0006,0.0005,-5.0653,0.025,78.5252,56.3825,-3.7636,0.0998,0.0189,0.0102,-5.0653,0.1375,46.8818,38.4077
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1777.6961,4.938,0.001301,1777.713,-0.7922,0.0107,0.0002,0.0002,-1.2146,0.0151,42.5903,52.7638,-0.7922,0.059,0.0069,0.0042,-1.2146,0.0831,26.2459,31.0281
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1708.7127,4.7464,0.001202,1708.7259,-0.2161,0.0093,0.0002,0.0001,-0.549,0.0126,38.1526,32.3195,-0.2161,0.0514,0.0048,0.0029,-0.549,0.0695,23.2159,20.7461
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1720.313,4.7786,0.000949,1720.3224,-2.3082,0.0132,0.0004,0.0003,-2.5054,0.019,53.1375,62.3201,-2.3082,0.0727,0.0109,0.0066,-2.5054,0.1046,32.5328,37.0984
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",1986.9934,5.5194,0.001559,1987.0131,-2.0904,0.0298,0.0012,0.0006,-10.1885,0.034,119.8006,170.1503,-2.0904,0.1638,0.0349,0.0238,-10.1885,0.1868,73.4296,121.3307
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",2902.6481,8.0629,0.001106,2902.6597,-0.8437,0.0095,0.0002,0.0002,-0.8438,0.0138,37.6387,38.0532,-0.8437,0.0525,0.0058,0.0037,-0.8438,0.0758,23.1328,23.6052
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",2965.2559,8.2368,0.003274,2965.2794,-1.364,0.0134,0.0003,0.0003,-2.2851,0.0184,55.1796,43.1312,-1.364,0.0739,0.0102,0.0058,-2.2851,0.1012,33.5681,28.4704
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",4172.1034,11.5892,0.00152,4172.1184,-1.5878,0.024,0.0007,0.0004,-6.0057,0.0269,105.0543,145.0825,-1.5878,0.1319,0.0219,0.0153,-6.0057,0.1478,62.57,95.5755
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",3060.0358,8.5001,0.001688,3060.0494,-0.0209,0.0071,0.0001,0.0001,-0.0303,0.0103,27.666,27.1208,-0.0209,0.0393,0.0032,0.002,-0.0303,0.0567,17.0461,17.0224
"BFO_MLNN-sliding_10-nets_[360, (0, 0), 5, (0.6, 0.4)]-bfo_{'pop_size': 50, 'Ci': 0.01, 'Ped': 0.25, 'Ns': 4, 'Ned': 6, 'Nre': 2, 'Nc': 30, 'attract_repel': (0.1, 0.2, 0.1, 10)}",3097.1997,8.6033,0.002773,3097.218,-1.9093,0.0119,0.0003,0.0002,-1.9157,0.0173,48.1147,48.0986,-1.9093,0.0657,0.0091,0.0051,-1.9157,0.0954,29.3609,30.5024
