model_name,time_total_train,time_epoch,time_predict,time_system,explained_variance_error,mean_absolute_error,mean_squared_error,mean_squared_log_error,r2_error,root_mean_squared_error,mean_absolute_percentage_error,symmetric_mean_absolute_percentage_error,explained_variance_error_denor,mean_absolute_error_denor,mean_squared_error_denor,mean_squared_log_error_denor,r2_error_denor,root_mean_squared_error_denor,mean_absolute_percentage_error_denor,symmetric_mean_absolute_percentage_error_denor
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",10009.0876,10.0091,2.32871723,10011.4222,0.6927,0.0039,0,0,0.6865,0.0063,15.3182,15.9596,0.6927,0.0214,0.0012,0.0007,0.6865,0.0345,9.3434,9.6444
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6750.4062,6.7504,5.41289425,6755.8302,0.7075,0.0045,0,0,0.6731,0.0064,19.3051,17.5441,0.7075,0.0248,0.0012,0.0008,0.6731,0.0352,11.3917,10.9003
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6794.9119,6.7949,8.85610843,6803.7901,0.693,0.0046,0,0,0.6518,0.0066,19.3376,17.5307,0.693,0.0252,0.0013,0.0008,0.6518,0.0363,11.4859,10.9436
"LSTM-1HL-sliding_10-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",6831.6405,6.8316,11.42273927,6843.0736,0.6955,0.0042,0,0,0.6845,0.0063,17.2562,16.3562,0.6955,0.0231,0.0012,0.0007,0.6845,0.0346,10.3468,10.1241
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",2199.8371,2.1998,2.01717615,2201.8572,0.7138,0.0042,0,0,0.6979,0.0062,17.4422,16.3159,0.7138,0.0231,0.0011,0.0007,0.6979,0.0338,10.4045,10.111
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1450.8671,1.4509,5.11042547,1455.984,0.6858,0.0041,0,0,0.6833,0.0063,16.4991,16.2137,0.6858,0.0227,0.0012,0.0007,0.6833,0.0346,10.0122,9.958
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1553.4583,1.5535,8.53469491,1562.001,0.7007,0.0039,0,0,0.7004,0.0061,15.4375,15.6306,0.7007,0.0215,0.0011,0.0007,0.7004,0.0337,9.3979,9.5271
"LSTM-1HL-sliding_2-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",1555.3997,1.5554,11.01165986,1566.4145,0.6939,0.004,0,0,0.6916,0.0062,16.1812,15.8219,0.6939,0.0222,0.0012,0.0007,0.6916,0.0342,9.7985,9.7365
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",5513.4816,5.5135,2.08756208,5515.5731,0.7167,0.0038,0,0,0.7152,0.006,15.0843,15.4204,0.7167,0.021,0.0011,0.0007,0.7152,0.0329,9.1868,9.3783
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3668.8798,3.6689,5.14789128,3674.0358,0.7108,0.004,0,0,0.707,0.0061,16.1149,15.6078,0.7108,0.0218,0.0011,0.0007,0.707,0.0333,9.6927,9.6085
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3715.4447,3.7154,8.74790883,3724.1996,0.6895,0.0054,0.0001,0,0.583,0.0072,23.2693,20.3718,0.6895,0.0298,0.0016,0.001,0.583,0.0398,13.7785,12.8272
"LSTM-1HL-sliding_5-net_para_[[5], 1000, 128, 0.0001, ('elu', 'elu'), 'adam', 'mse']",3801.1531,3.8012,11.05594254,3812.2118,0.6904,0.0039,0,0,0.6901,0.0062,15.6032,15.3595,0.6904,0.0215,0.0012,0.0007,0.6901,0.0343,9.4485,9.4457
